country,beta0,beta1,beta2,beta3,tau1,tau2,rmse
Greece,0.3573210965526232,-0.340468124596435,-0.14809964969160752,-0.81407868813549,5.5,25.5,4.435098182552435e-05
Italy,0.04471260713631018,-0.03229166414696375,-0.023424986467611913,0.02111278236187249,3.0,5.0,3.878959614448864e-18
India,0.07167322821859431,-0.033760648086914986,0.02784213209765391,0.04172841776426262,9.5,1.5,2.6419911272611246e-06
